word,lemma,freq
low,low,295
froggy,froggy,295
emma,emma,295
nodded,nod,295
practice,practice,295
swam,swam,295
anyway,anyway,295
quack,quack,295
robot,robot,294
celebrate,celebrate,294
boots,boot,293
carrots,carrot,293
body,body,293
clear,clear,293
journey,journey,293
cheered,cheer,293
drew,draw,292
shake,shake,292
craig,craig,292
stared,stare,292
seed,seed,292
elves,elf,291
falling,fall,291
grand,grand,290
pigs,pig,289
buster,buster,289
fat,fat,289
glue,glue,289
swimming,swim,288
awesome,awesome,288
belly,belly,286
bok,bok,286
rocket,rocket,286
kitten,kitten,286
spotted,spot,285
nest,nest,285
cheer,cheer,285
pair,pair,285
against,against,284
rocks,rock,284
often,often,283
moving,move,282
ninja,ninja,282
happily,happily,282
spread,spread,282
either,either,282
mermaid,mermaid,282
cover,cover,281
during,during,281
sir,sir,281
paw,paw,280
tears,tear,280
ear,ear,279
goodness,goodness,279
appeared,appear,279
return,return,279
wave,wave,279
exciting,exciting,278
brothers,brother,278
letter,letter,278
clever,clever,278
push,push,278
taste,taste,277
teach,teach,277
cars,car,277
size,size,276
broken,break,276
meant,mean,276
short,short,276
blanket,blanket,276
mighty,mighty,275
rather,rather,275
saved,save,274
c,c,274
drink,drink,274
coat,coat,273
nap,nap,273
hung,hang,273
grab,grab,273
quietly,quietly,272
heavy,heavy,272
smart,smart,271
woof,woof,271
blow,blow,270
branch,branch,270
stairs,stair,270
helps,help,269
towards,towards,269
nervous,nervous,269
pointed,point,269
aunt,aunt,269
spooky,spooky,269
headed,head,268
begin,begin,266
wiggle,wiggle,266
pushed,push,265
zoo,zoo,265
tap,tap,265
lonely,lonely,265
hall,hall,264
ring,ring,264
yay,yay,263
stepped,step,263
sandwich,sandwich,263
butter,butter,262
island,island,262
building,building,262
leaving,leave,262
amp,amp,262
fur,fur,262
mummy,mummy,261
gently,gently,261
led,lead,260
elf,elf,260
bow,bow,260
joining,join,260
o,o,260
waved,wave,260
friendly,friendly,259
patrick,patrick,259
happening,happen,259
calm,calm,258
known,know,258
growing,grow,257
careful,careful,257
beginning,beginning,257
continued,continue,257
granny,granny,256
socks,sock,256
jelly,jelly,256
giraffe,giraffe,255
tim,tim,255
changed,change,255
single,single,255
pocket,pocket,255
edge,edge,255
crew,crew,255
spots,spot,255
thankful,thankful,255
hid,hide,254
claus,claus,254
crayon,crayon,253
banana,banana,253
group,group,253
button,button,253
pass,pass,253
pool,pool,252
ruby,ruby,251
kindness,kindness,251
feast,feast,251
rogers,rogers,251
telling,tell,251
definitely,definitely,251
village,village,251
gobble,gobble,251
cup,cup,251
ago,ago,250
shoe,shoe,250
