Word_Corpus_All_Picturebooks,Lemma,Freq_Raw,Word_Narrative_Picturebooks,Lemma,Freq_Raw,Word_Informational_Picturebooks,Lemma,Freq_Raw
paper,paper,778,tall,tall,660,easy,easy,123
dinosaur,dinosaur,774,grew,grow,660,women,woman,123
move,move,774,sing,sing,658,leave,leave,123
witch,witch,773,whispered,whisper,658,jesus,jesus,122
gon,go,773,stood,stand,657,fur,fur,122
land,land,771,afraid,afraid,657,insects,insect,121
bat,bat,771,late,late,656,ship,ship,121
waiting,wait,769,grow,grow,655,scientists,scientist,121
talk,talk,768,poor,poor,655,jump,jump,121
mind,mind,768,hide,hide,655,kinds,kind,120
wonderful,wonderful,768,busy,busy,653,nothing,nothing,120
hide,hide,767,flying,fly,652,teacher,teacher,120
gold,gold,766,tired,tired,647,between,between,120
grew,grow,766,boat,boat,646,star,star,119
used,use,763,gets,get,645,usually,usually,119
sing,sing,760,strong,strong,642,smile,smile,119
brave,brave,756,quickly,quickly,639,frog,frog,119
lunch,lunch,755,birthday,birthday,638,american,american,119
parents,parent,754,trying,try,637,n,n,118
past,past,754,picked,pick,636,whale,whale,118
shoes,shoe,753,toys,toy,635,having,have,118
dream,dream,751,earth,earth,634,table,table,118
rain,rain,749,bus,bus,632,train,train,118
dogs,dog,748,winter,winter,632,below,below,117
spot,spot,747,lived,live,632,slowly,slowly,117
free,free,747,smell,smell,632,pilgrims,pilgrim,117
afraid,afraid,741,halloween,halloween,631,super,super,117
legs,leg,739,round,round,631,worry,worry,116
clean,clean,737,brave,brave,631,coming,come,116
round,round,736,thinking,think,631,coat,coat,116
quickly,quickly,736,cream,cream,631,martin,martin,116
listen,listen,736,knows,know,630,fruit,fruit,116
busy,busy,734,fluffy,fluffy,629,able,able,116
wolf,wolf,732,parents,parent,626,build,build,116
bus,bus,731,asleep,asleep,624,pick,pick,115
lived,live,729,onto,onto,623,ball,ball,115
smell,smell,728,kept,keep,620,catch,catch,115
cream,cream,726,river,river,620,breathe,breathe,115
trying,try,723,dream,dream,617,yet,yet,115
wonder,wonder,722,ah,ah,617,brother,brother,115
six,six,718,ride,ride,617,yourself,yourself,115
jump,jump,717,likes,like,616,dance,dance,114
ride,ride,716,stuck,stick,615,americans,americans,114
money,money,716,rain,rain,615,bring,bring,114
boat,boat,716,song,song,614,hungry,hungry,114
stood,stand,715,everywhere,everywhere,614,giant,giant,113
mouth,mouth,714,pie,pie,611,grandma,grandma,113
likes,like,713,word,word,610,breath,breath,113
young,young,713,listen,listen,609,magical,magical,113
bears,bear,713,clean,clean,607,mommy,mommy,112
kept,keep,712,sheep,sheep,605,forest,forest,112
thinking,think,711,excited,excited,605,amazing,amazing,112
learned,learn,710,replied,reply,603,patrick,patrick,112
cats,cat,710,owl,owl,603,dinner,dinner,112
meet,meet,708,chocolate,chocolate,603,hide,hide,112
princess,princess,707,fairy,fairy,599,growing,grow,111
