word,lemma,freq
seems,seem,372
patrick,patrick,371
thinks,think,370
hiding,hide,370
against,against,370
kiss,kiss,369
cozy,cozy,369
shell,shell,369
chase,chase,368
storm,storm,368
promise,promise,368
growing,grow,368
cars,car,367
gathered,gather,367
nest,nest,367
drink,drink,366
david,david,365
bedelia,bedelia,365
shop,shop,365
present,present,364
spread,spread,363
pop,pop,363
beat,beat,363
somebody,somebody,363
reindeer,reindeer,363
yep,yep,362
billy,billy,362
butterfly,butterfly,362
journey,journey,362
stone,stone,361
knock,knock,361
rat,rat,360
moving,move,360
returned,return,359
lily,lily,359
wood,wood,359
curious,curious,359
lucy,lucy,359
cookie,cookie,358
pile,pile,357
seed,seed,357
size,size,357
corner,corner,357
surprised,surprised,357
third,third,357
jungle,jungle,356
tummy,tummy,356
dropped,drop,356
dressed,dress,356
reason,reason,356
country,country,354
fat,fat,354
standing,stand,354
fit,fit,353
costume,costume,352
stayed,stay,352
aloud,aloud,352
la,la,351
group,group,351
low,low,351
carried,carry,351
building,building,350
whatever,whatever,350
nine,nine,349
throw,throw,349
gifts,gift,349
blew,blow,349
least,least,349
clear,clear,349
laughing,laugh,348
seem,seem,348
ryan,ryan,348
foot,foot,347
sisters,sister,347
taste,taste,347
wife,wife,346
spots,spot,346
bunnies,bunny,346
rex,rex,346
realized,realize,345
monkeys,monkey,345
yard,yard,345
push,push,345
awesome,awesome,345
added,add,344
lake,lake,344
heads,head,344
fresh,fresh,343
grandmother,grandmother,343
roar,roar,343
donkey,donkey,342
begin,begin,342
tap,tap,341
cover,cover,341
fruit,fruit,340
wise,wise,340
crazy,crazy,340
anna,anna,340
calm,calm,339
answered,answer,339
riding,ride,339
known,know,339
boots,boot,338
fair,fair,338
weather,weather,338
changed,change,338
snack,snack,337
note,note,336
smart,smart,335
missed,miss,335
belly,belly,334
pigs,pig,334
glue,glue,334
ear,ear,334
holding,hold,334
uncle,uncle,333
babies,baby,333
craig,craig,332
joe,joe,331
swimming,swim,331
bell,bell,331
toad,toad,331
fancy,fancy,331
grab,grab,330
heavy,heavy,330
exciting,exciting,329
blow,blow,328
meant,mean,328
teach,teach,328
exclaimed,exclaim,328
feathers,feather,328
fix,fix,328
supposed,suppose,328
falling,fall,327
threw,throw,326
bedtime,bedtime,326
hopped,hop,326
spotted,spot,326
power,power,326
remembered,remember,325
quack,quack,324
return,return,324
branches,branch,323
imagine,imagine,323
either,either,323
bugs,bug,322
tears,tear,322
wave,wave,322
rocket,rocket,322
carrots,carrot,321
drew,draw,321
treasure,treasure,320
bee,bee,320
point,point,319
grand,grand,319
sharp,sharp,319
hang,hang,318
choose,choose,318
worst,bad,318
using,use,317
nodded,nod,316
fill,fill,316
swam,swam,315
island,island,314
shake,shake,314
anyway,anyway,314
robot,robot,314
friendly,friendly,314
s,s,313
jelly,jelly,313
clever,clever,313
single,single,313
stared,stare,312
cheer,cheer,312
